Character,Dialogue,EpisodeNo,SEID,Season
JERRY,"Do you know what this is all about? Do you know, why were here? To be out, this is out...and out is one of the single most enjoyable experiences of life. People...did you ever hear people talking about We should go out? This is what theyre talking about...this whole thing, were all out now, no one is home. Not one person here is home, were all out! There are people tryin to find us, they dont know where we are. (on an imaginary phone) Did you ring?, I cant find him. Where did he go? He didnt tell me where he was going. He must have gone out. You wanna go out you get ready, you pick out the clothes, right? You take the shower, you get all ready, get the cash, get your friends, the car, the spot, the reservation...Then youre standing around, whatta you do? You go We gotta be getting back. Once youre out, you wanna get back! You wanna go to sleep, you wanna get up, you wanna go out again tomorrow, right? Where ever you are in life, its my feeling, youve gotta go.",1,S01E01,1
JERRY,"(pointing at Georges shirt) See, to me, that button is in the worst possible spot. The second button literally makes or breaks the shirt, look at it. Its too high! Its in no-mans-land. You look like you live with your mother.",1,S01E01,1
GEORGE,Are you through?,1,S01E01,1
JERRY,"You do of course try on, when you buy?",1,S01E01,1
GEORGE,"Yes, it was purple, I liked it, I dont actually recall considering the buttons.",1,S01E01,1
JERRY,"Oh, you dont recall?",1,S01E01,1
GEORGE,"(on an imaginary microphone) Uh, no, not at this time.",1,S01E01,1
JERRY,"Well, senator, Id just like to know, what you knew and when you knew it.",1,S01E01,1
CLAIRE,Mr. Seinfeld. Mr. Costanza.,1,S01E01,1
GEORGE,"Are, are you sure this is decaf? Wheres the orange indicator?",1,S01E01,1
CLAIRE,"Its missing, I have to do it in my head decaf left, regular right, decaf left, regular right...its very challenging work.",1,S01E01,1
JERRY,"Can you relax, its a cup of coffee. Claire is a professional waitress.",1,S01E01,1
CLAIRE,Trust me George. No one has any interest in seeing you on caffeine.,1,S01E01,1
GEORGE,How come youre not doin the second show tomorrow?,1,S01E01,1
JERRY,"Well, theres this uh, woman might be comin in.",1,S01E01,1
GEORGE,"Wait a second, wait a second, what coming in, what woman is coming in?",1,S01E01,1
JERRY,"I told you about Laura, the girl I met in Michigan?",1,S01E01,1
GEORGE,"No, you didnt!",1,S01E01,1
JERRY,"I thought I told you about it, yes, she teaches political science? I met her the night I did the show in Lansing...",1,S01E01,1
GEORGE,Ha.,1,S01E01,1
JERRY,"(looks in the creamer) Theres no milk in here, what...",1,S01E01,1
GEORGE,"Wait wait wait, what is she... (takes the milk can from Jerry and puts it on the table) What is she like?",1,S01E01,1
JERRY,"Oh, shes really great. I mean, shes got like a real warmth about her and shes really bright and really pretty and uh... the conversation though, I mean, it was... talking with her is like talking with you, but, you know, obviously much better.",1,S01E01,1
GEORGE,"(smiling) So, you know, what, what happened?",1,S01E01,1
JERRY,"Oh, nothing happened, you know, but is was great.",1,S01E01,1
GEORGE,"Oh, nothing happened, but it was...",1,S01E01,1
JERRY,Yeah.,1,S01E01,1
GEORGE,This is great!,1,S01E01,1
JERRY,Yeah.,1,S01E01,1
GEORGE,"So, you know, she calls and says she wants to go out with you tomorrow night? God bless! Devil you!",1,S01E01,1
JERRY,"Yeah, well...not exactly. I mean, she said, you know, she called this morning and said she had to come in for a seminar and maybe well get together.",1,S01E01,1
GEORGE,"(whistles disapprovingly) Ho ho ho, Had to? Had to come in?",1,S01E01,1
JERRY,"Yeah, but...",1,S01E01,1
GEORGE,Had to come in and maybe well get together? Had to and maybe?,1,S01E01,1
JERRY,Yeah!,1,S01E01,1
GEORGE,"No...no...no, I hate to tell you this. Youre not gonna see this woman.",1,S01E01,1
JERRY,"What, are you serious...why, why did she call?",1,S01E01,1
GEORGE,"How do I know, maybe, you know, maybe she wanted to be polite.",1,S01E01,1
JERRY,To be polite? You are insane!,1,S01E01,1
GEORGE,"All right, all right, I didnt want to tell you this. You wanna know why she called you?",1,S01E01,1
JERRY,Yes!,1,S01E01,1
GEORGE,"Youre a back-up, youre a second-line, a just-in-case, a B-plan, a contingency!",1,S01E01,1
JERRY,"Oh, I get it, this is about the button.",1,S01E01,1
GEORGE,"Claire, Claire, youre a woman, right?",1,S01E01,1
CLAIRE,"What gave it away, George?",1,S01E01,1
GEORGE,"Uhm...Id like to ask you...ask you to analyze a hypothetical phone call, you know, from a female point of view.",1,S01E01,1
GEORGE,"(to Claire) Now, a woman calls me, all right?",1,S01E01,1
CLAIE,Uh huh.,1,S01E01,1
GEORGE,She says she has to come to New York on business...,1,S01E01,1
JERRY,Oh you are beautiful!,1,S01E01,1
GEORGE,"...and, and maybe shell see me when she gets there, does this woman intend to spend time with me?",1,S01E01,1
CLAIRE,"Id have to say, uuhh, no.",1,S01E01,1
(George shows his note-block to Jerry; it says very largely,NO.),1,S01E01,1
CLAIRE,To be polite.,1,S01E01,1
GEORGE,To be polite. I rest my case.,1,S01E01,1
JERRY,"Good. Did you have fun? You have no idea, what youre talking about, now, come on, come with me. (stands up) I gotta go get my stuff out of the dryer anyway.",1,S01E01,1
GEORGE,Im not gonna watch you do laundry.,1,S01E01,1
JERRY,"Oh, come on, be a come-with guy.",1,S01E01,1
GEORGE,"Come on, Im tired.",1,S01E01,1
CLAIRE,"(to Jerry) Dont worry, I gave him a little caffeine. Hell perk up.",1,S01E01,1
GEORGE,"(panicking) Right, I knew I felt something!",1,S01E01,1
GEORGE,Jerry? I have to tell you something. This is the dullest moment Ive ever experienced.,1,S01E01,1
JERRY,"Well, look at this guy. Look, hes got everything, hes got detergents, sprays, fabric softeners.  This is not his first load.",1,S01E01,1
GEORGE,"I need a break, Jerry, you know. I gotta get out of the city. I feel so cramped...",1,S01E01,1
JERRY,And you didnt even hear how she sounded.,1,S01E01,1
GEORGE,What?!,1,S01E01,1
JERRY,Laura.,1,S01E01,1
GEORGE,I cant believe- (falls on his knees) WE ALREADY DISCUSSED THIS!,1,S01E01,1
JERRY,"Yeah, but how could you be so sure?",1,S01E01,1
GEORGE,"Cause its signals, Jerry, its signals! (snapping his fingers) Dont you- all right. Did she even ask you, what you were doin tomorrow night, if you were busy?",1,S01E01,1
JERRY,No.,1,S01E01,1
GEORGE,She calls you today and she doesnt make a plan for tomorrow? What is that? Its Saturday night!,1,S01E01,1
JERRY,Yeah.,1,S01E01,1
GEORGE,"What is that? Its ridiculous! You dont even know what hotel shes staying at, you cant call her. Thats a signal, Jerry, thats a signal! (snaps his fingers) Signal!",1,S01E01,1
JERRY,Maybe youre right.,1,S01E01,1
GEORGE,Maybe Im right? Of course Im right.,1,S01E01,1
JERRY,"This is insane. You know, I dont even know where shes staying! She, shes not gonna call me, this is unbelievable.",1,S01E01,1
GEORGE,"I know, I know. Listen, your stuff has to be done by now, why dont you just see if its dry?",1,S01E01,1
JERRY,"No no no, dont interrupt the cycle. The machine is working, it, it knows what its doing. Just let it finish.",1,S01E01,1
GEORGE,Youre gonna overdry it.,1,S01E01,1
JERRY,"You, you cant overdry.",1,S01E01,1
GEORGE,Why not?,1,S01E01,1
JERRY,"Same as you cant overwet. You see, once something is wet, its wet. Same thing with death. Like once you die youre dead, right? Lets say you drop dead and I shoot you. Youre not gonna die again, youre already dead. You cant overdie, you cant overdry.",1,S01E01,1
GEORGE,(to the other laundry patrons) Any questions?,1,S01E01,1
JERRY,How could she not tell me where she was staying?,1,S01E01,1
GEORGE,Look at that. Theyre done!,1,S01E01,1
JERRY,"Laundry day is the only exciting day in the life of clothes. It is...yknow, think about it. The washing machine is the nightclub of clothes. You know, its dark, theres bubbles happening, theyre all kinda dancing around in there- shirt grabs the underwear, Cmon babe, lets go. You come by, you open up the lid and theyll- (stiffens up, as the clothes) Socks are the most amazing article of clothing. They hate their lives, theyre in the shoes with stinky feet, the boring drawers. The dryer is their only chance to escape and they all know it. They knew a escape from the dryer. They plan it in the hamper the night before, Tomorrow, the dryer, Im goin. You wait here! The dryer door swings open and the sock is waiting up against the side wall. He hopes you dont see him and then he goes down the road. They get buttons sewn on their faces, join a puppet show. So theyre showing me on television the detergent for getting out bloodstains. Is this a violent image to anybody? Bloodstains? I mean, come on, you got a T-shirt with bloodstains all over it, maybe laundry isnt your biggest problem right now. You gotta get the harpoon out your chest first.",1,S01E01,1
JERRY,"(answering, quickly) If you know what happened in the Met game, dont say anything, I taped it, hello. Yeah, no, Im sorry, you have the wrong number. Yeah, no",1,S01E01,1
JERRY,(to the door) Yeah?,1,S01E01,1
KESSLER,Are you up?,1,S01E01,1
JERRY,"(to Kessler) Yeah. (to the phone) Yeah, people do move. Have you ever seen the big trucks out on the street? Yeah, no problem.",1,S01E01,1
KESSLER,"Boy, the Mets blew it tonight, huh?",1,S01E01,1
