Date,stock,value,change
1/3/2007,MSFT,23.950705,-0.167452273
1/3/2007,IBM,80.517962,1.069188761
1/3/2007,SBUX,16.149666,0.113476031
1/3/2007,AAPL,11.086612,2.219568972
1/3/2007,GSPC,1416.599976,0.122828606
1/4/2007,MSFT,23.910599,-0.570278478
1/4/2007,IBM,81.378851,-0.905299093
1/4/2007,SBUX,16.167992,-0.425055876
1/4/2007,AAPL,11.332687,-0.712125906
1/4/2007,GSPC,1418.339966,-0.608458142
1/5/2007,MSFT,23.774242,0.978411846
1/5/2007,IBM,80.642129,1.519199723
1/5/2007,SBUX,16.099269,-0.369948474
1/5/2007,AAPL,11.251984,0.49383291
1/5/2007,GSPC,1409.709961,0.222031842
1/8/2007,MSFT,24.006852,0.100229718
1/8/2007,IBM,81.867244,1.183010387
1/8/2007,SBUX,16.03971,-0.428442908
1/8/2007,AAPL,11.30755,8.307016109
1/8/2007,GSPC,1412.839966,-0.051667635
1/9/2007,MSFT,24.030914,-1.001335197
1/9/2007,IBM,82.835742,-1.179174565
1/9/2007,SBUX,15.970989,-0.315553407
1/9/2007,AAPL,12.24687,4.785557453
1/9/2007,GSPC,1412.109985,0.19403524
1/10/2007,MSFT,23.790284,3.506410432
1/10/2007,IBM,81.858964,-0.242691808
1/10/2007,SBUX,15.920592,3.050363956
1/10/2007,AAPL,12.832951,-1.237104389
1/10/2007,GSPC,1414.849976,0.633987359
1/11/2007,MSFT,24.624469,1.66122973
1/11/2007,IBM,81.660299,0.699437801
1/11/2007,SBUX,16.406228,0.251331385
1/11/2007,AAPL,12.674194,-1.231731185
1/11/2007,GSPC,1423.819946,0.485316561
1/12/2007,MSFT,25.033538,-0.160201087
1/12/2007,IBM,82.231462,1.489836092
1/12/2007,SBUX,16.447462,0.891359409
1/12/2007,AAPL,12.518082,2.621000565
1/12/2007,GSPC,1430.72998,0.081779512
1/16/2007,MSFT,24.993434,-0.192550571
1/16/2007,IBM,83.456576,-0.793496489
1/16/2007,SBUX,16.594068,0.193261833
1/16/2007,AAPL,12.846181,-2.214214481
1/16/2007,GSPC,1431.900024,-0.089393741
1/17/2007,MSFT,24.945309,-0.32154743
1/17/2007,IBM,82.794351,-0.569885499
1/17/2007,SBUX,16.626138,-1.432900413
1/17/2007,AAPL,12.561739,-6.192725386
1/17/2007,GSPC,1430.619995,-0.297073997
1/18/2007,MSFT,24.865098,0.35484276
1/18/2007,IBM,82.322518,-3.298138913
1/18/2007,SBUX,16.387902,-0.642992617
1/18/2007,AAPL,11.783825,-0.639945009
1/18/2007,GSPC,1426.369995,0.289546542
1/19/2007,MSFT,24.95333,-1.253620258
1/19/2007,IBM,79.607407,0.977437941
1/19/2007,SBUX,16.282529,-0.703434952
1/19/2007,AAPL,11.708415,-1.932208587
1/19/2007,GSPC,1430.5,-0.527790912
1/22/2007,MSFT,24.64051,0.065104172
1/22/2007,IBM,80.38552,-0.030891136
1/22/2007,SBUX,16.167992,-0.96344679
1/22/2007,AAPL,11.482184,-1.255902187
1/22/2007,GSPC,1422.949951,0.354196505
1/23/2007,MSFT,24.656552,1.138581745
1/23/2007,IBM,80.360688,0.329625102
1/23/2007,SBUX,16.012222,-0.457794053
1/23/2007,AAPL,11.337979,1.166865806
1/23/2007,GSPC,1427.98999,0.850147066
1/24/2007,MSFT,24.937287,-2.058535878
1/24/2007,IBM,80.625577,0.112936866
1/24/2007,SBUX,15.938919,-2.356997987
1/24/2007,AAPL,11.470278,-0.519037115
1/24/2007,GSPC,1440.130005,-1.126980269
1/25/2007,MSFT,24.423944,0.492610858
1/25/2007,IBM,80.716633,-0.061537502
1/25/2007,SBUX,15.563239,-0.264944849
1/25/2007,AAPL,11.410743,-1.008698557
1/25/2007,GSPC,1423.900024,-0.120792891
1/26/2007,MSFT,24.544259,-0.228758179
1/26/2007,IBM,80.666962,1.11852607
1/26/2007,SBUX,15.522005,2.007086069
1/26/2007,AAPL,11.295643,0.655890063
1/26/2007,GSPC,1422.180054,-0.109694901
1/29/2007,MSFT,24.488112,-0.163777428
1/29/2007,IBM,81.569243,0.8422991
1/29/2007,SBUX,15.833545,0
1/29/2007,AAPL,11.36973,-0.453801454
1/29/2007,GSPC,1420.619995,0.577209319
1/30/2007,MSFT,24.448006,1.246723352
1/30/2007,IBM,82.2563,-0.221395808
1/30/2007,SBUX,15.833545,1.099532669
1/30/2007,AAPL,11.318134,0.210405708
1/30/2007,GSPC,1428.819946,0.659288389
1/31/2007,MSFT,24.752805,-0.972136289
1/31/2007,IBM,82.074188,-0.151287516
1/31/2007,SBUX,16.00764,-1.516888186
1/31/2007,AAPL,11.341948,-1.15479281
1/31/2007,GSPC,1438.23999,0.535373168
2/1/2007,MSFT,24.512174,-1.210729003
2/1/2007,IBM,81.95002,0.171715638
2/1/2007,SBUX,15.764822,-0.406855212
2/1/2007,AAPL,11.210972,0.011800939
2/1/2007,GSPC,1445.939941,0.169445074
2/2/2007,MSFT,24.215398,-1.921166028
2/2/2007,IBM,82.090741,1.22012664
2/2/2007,SBUX,15.700682,-0.729496973
2/2/2007,AAPL,11.212295,-0.955754375
2/2/2007,GSPC,1448.390015,-0.096660774
2/5/2007,MSFT,23.75018,-0.337723756
2/5/2007,IBM,83.092352,-0.527993238
2/5/2007,SBUX,15.586146,-1.028817515
2/5/2007,AAPL,11.105133,0.250181605
2/5/2007,GSPC,1446.98999,0.069800759
2/6/2007,MSFT,23.66997,-0.474415472
2/6/2007,IBM,82.65363,-0.010040696
2/6/2007,SBUX,15.425793,0
2/6/2007,AAPL,11.132916,2.376708851
2/6/2007,GSPC,1448,0.139504144
2/7/2007,MSFT,23.557676,-0.374531851
2/7/2007,IBM,82.645331,0.080371146
2/7/2007,SBUX,15.425793,-0.742496674
2/7/2007,AAPL,11.397513,0.03483216
2/7/2007,GSPC,1450.02002,-0.117926717
2/8/2007,MSFT,23.469445,-0.956942101
2/8/2007,IBM,82.711754,-1.074080717
2/8/2007,SBUX,15.311257,-1.37641867
2/8/2007,AAPL,11.401483,-3.37665723
2/8/2007,GSPC,1448.310059,-0.707721384
2/9/2007,MSFT,23.244856,-0.138021935
2/9/2007,IBM,81.823363,0.030439961
2/9/2007,SBUX,15.10051,-0.8798577
2/9/2007,AAPL,11.016494,1.933464494
2/9/2007,GSPC,1438.060059,-0.326138256
2/12/2007,MSFT,23.212773,0.589459949
2/12/2007,IBM,81.84827,-0.294178484
2/12/2007,SBUX,14.967647,-0.030606013
2/12/2007,AAPL,11.229494,-0.21205764
2/12/2007,GSPC,1433.369995,0.759749056
2/13/2007,MSFT,23.349603,1.344361187
2/13/2007,IBM,81.60749,0.925828009
2/13/2007,SBUX,14.963066,2.08205992
2/13/2007,AAPL,11.205681,0.708381757
2/13/2007,GSPC,1444.26001,0.764407996
2/14/2007,MSFT,23.663506,0.204077959
2/14/2007,IBM,82.363035,-0.282256476
2/14/2007,SBUX,15.274606,-0.359924177
2/14/2007,AAPL,11.28506,-0.10551118
2/14/2007,GSPC,1455.300049,0.103759359
2/15/2007,MSFT,23.711798,-2.443990118
2/15/2007,IBM,82.13056,0.070762941
2/15/2007,SBUX,15.219629,-0.632157328
2/15/2007,AAPL,11.273153,-0.44596219
2/15/2007,GSPC,1456.810059,-0.087178146
2/16/2007,MSFT,23.132284,0.313155415
2/16/2007,IBM,82.188678,0.363674179
2/16/2007,SBUX,15.123417,-0.575584208
2/16/2007,AAPL,11.222879,1.261343012
2/16/2007,GSPC,1455.540039,0.284431544
2/20/2007,MSFT,23.204724,1.803675838
2/20/2007,IBM,82.487577,-0.26170365
2/20/2007,SBUX,15.036369,-1.279697246
2/20/2007,AAPL,11.364438,3.841676993
2/20/2007,GSPC,1459.680054,-0.140445092
2/21/2007,MSFT,23.623262,0.136285158
2/21/2007,IBM,82.271704,-0.595413704
2/21/2007,SBUX,14.843949,1.882706549
2/21/2007,AAPL,11.801023,0.347537667
2/21/2007,GSPC,1457.630005,-0.085755644
2/22/2007,MSFT,23.655457,-1.667234753
2/22/2007,IBM,81.781847,-0.781722379
2/22/2007,SBUX,15.123417,-0.78763946
2/22/2007,AAPL,11.842036,-0.491562431
2/22/2007,GSPC,1456.380005,-0.35636743
2/23/2007,MSFT,23.261065,0.588236179
2/23/2007,IBM,81.14254,-0.839046941
2/23/2007,SBUX,15.004299,-2.259545748
2/23/2007,AAPL,11.783825,-0.628717755
2/23/2007,GSPC,1451.189941,-0.125410599
2/26/2007,MSFT,23.397895,-4.127965358
2/26/2007,IBM,80.461716,-3.044065081
2/26/2007,SBUX,14.66527,-3.936265749
2/26/2007,AAPL,11.709738,-5.174564965
2/26/2007,GSPC,1449.369995,-3.472540219
2/27/2007,MSFT,22.432038,1.07642471
2/27/2007,IBM,78.012409,-1.085565759
2/27/2007,SBUX,14.088006,0.487805017
2/27/2007,AAPL,11.10381,0.810208388
2/27/2007,GSPC,1399.040039,0.556088946
2/28/2007,MSFT,22.673502,-0.28398789
2/28/2007,IBM,77.165533,-0.720900872
2/28/2007,SBUX,14.156728,-1.650487316
2/28/2007,AAPL,11.193774,2.895636449
2/28/2007,GSPC,1406.819946,-0.259443436
3/1/2007,MSFT,22.609112,-1.17479625
3/1/2007,IBM,76.609246,-1.484767256
3/1/2007,SBUX,13.923073,-1.678185556
3/1/2007,AAPL,11.517905,-1.895249179
3/1/2007,GSPC,1403.170044,-1.140275198
3/2/2007,MSFT,22.343501,-0.75648843
3/2/2007,IBM,75.471777,1.001094754
3/2/2007,SBUX,13.689418,-1.572952188
3/2/2007,AAPL,11.299612,1.065452513
3/2/2007,GSPC,1387.170044,-0.940767792
3/5/2007,MSFT,22.174475,1.016335223
3/5/2007,IBM,76.227321,2.167525998
3/5/2007,SBUX,13.47409,2.006116925
3/5/2007,AAPL,11.420004,2.166356509
3/5/2007,GSPC,1374.119995,1.549358068
3/6/2007,MSFT,22.399842,-0.79051004
3/6/2007,IBM,77.879568,0.149253524
3/6/2007,SBUX,13.744396,1.566667608
3/6/2007,AAPL,11.667402,-0.532937838
3/6/2007,GSPC,1395.410034,-0.246527036
3/7/2007,MSFT,22.222769,-1.050346156
3/7/2007,IBM,77.995806,-1.000640983
3/7/2007,SBUX,13.959725,0.75484295
3/7/2007,AAPL,11.605222,0.319192515
3/7/2007,GSPC,1391.969971,0.712662213
3/8/2007,MSFT,21.989353,-0.109807687
3/8/2007,IBM,77.215348,0.301073564
3/8/2007,SBUX,14.065099,-1.270364325
3/8/2007,AAPL,11.642265,-0.034091304
3/8/2007,GSPC,1401.890015,0.067762163
3/9/2007,MSFT,21.965207,0.549651091
3/9/2007,IBM,77.447823,0.889796476
3/9/2007,SBUX,13.886421,-0.791816696
3/9/2007,AAPL,11.638296,2.159835082
3/9/2007,GSPC,1402.839966,0.268028435
3/12/2007,MSFT,22.085939,-2.623909266
3/12/2007,IBM,78.136951,-1.487622674
3/12/2007,SBUX,13.776466,-2.361149804
3/12/2007,AAPL,11.889664,-1.635698032
3/12/2007,GSPC,1406.599976,-2.036828202
3/13/2007,MSFT,21.506424,2.544909372
3/13/2007,IBM,76.974568,1.132567577
3/13/2007,SBUX,13.451183,-0.136248239
3/13/2007,AAPL,11.695185,1.809949992
3/13/2007,GSPC,1377.949951,0.669116683
3/14/2007,MSFT,22.053743,-0.437952868
3/14/2007,IBM,77.846357,-0.330637181
3/14/2007,SBUX,13.432856,0.920876394
3/14/2007,AAPL,11.906862,-0.477774917
3/14/2007,GSPC,1387.170044,0.368374809
3/15/2007,MSFT,21.957158,0.183284194
3/15/2007,IBM,77.588968,-0.214014962
3/15/2007,SBUX,13.556556,3.345724386
3/15/2007,AAPL,11.849974,0.022329163
3/15/2007,GSPC,1392.280029,-0.382830888
3/16/2007,MSFT,21.997402,1.829488773
3/16/2007,IBM,77.422916,0.793563497
3/16/2007,SBUX,14.010121,1.504255388
3/16/2007,AAPL,11.85262,1.718944841
3/16/2007,GSPC,1386.949951,1.089448685
3/19/2007,MSFT,22.399842,0.035933289
3/19/2007,IBM,78.037316,0.542612204
3/19/2007,SBUX,14.220869,1.095355003
3/19/2007,AAPL,12.05636,0.384062851
3/19/2007,GSPC,1402.060059,0.633345337
3/20/2007,MSFT,22.407891,2.44253241
3/20/2007,IBM,78.460756,0.910053683
3/20/2007,SBUX,14.376638,2.836205516
3/20/2007,AAPL,12.102664,2.612590088
3/20/2007,GSPC,1410.939941,1.708088155
3/21/2007,MSFT,22.955211,-0.876576565
3/21/2007,IBM,79.174791,-0.178268863
3/21/2007,SBUX,14.784389,-1.952282235
3/21/2007,AAPL,12.418857,0.095878389
3/21/2007,GSPC,1435.040039,-0.034842233
3/22/2007,MSFT,22.753991,-0.884332775
3/22/2007,IBM,79.033647,-0.168089168
3/22/2007,SBUX,14.495756,-0.695320755
3/22/2007,AAPL,12.430764,-0.468281756
3/22/2007,GSPC,1434.540039,0.109438981
3/23/2007,MSFT,22.55277,0.713774849
3/23/2007,IBM,78.9008,-0.031567487
3/23/2007,SBUX,14.394964,1.686826032
3/23/2007,AAPL,12.372553,2.491442146
3/23/2007,GSPC,1436.109985,0.096790289
3/26/2007,MSFT,22.713746,-1.77179493
3/26/2007,IBM,78.875893,-0.284207242
3/26/2007,SBUX,14.637782,-0.719876823
3/26/2007,AAPL,12.680808,-0.40688259
3/26/2007,GSPC,1437.5,-0.618435826
3/27/2007,MSFT,22.311305,-0.28859809
3/27/2007,IBM,78.651722,-0.496148069
3/27/2007,SBUX,14.532408,-1.38713419
3/27/2007,AAPL,12.629212,-2.325584526
3/27/2007,GSPC,1428.609985,-0.796578851
3/28/2007,MSFT,22.246915,0.397974281
3/28/2007,IBM,78.261493,0.32887438
3/28/2007,SBUX,14.330824,0.159844263
3/28/2007,AAPL,12.335509,0.546981888
3/28/2007,GSPC,1417.22998,0.373972402
3/29/2007,MSFT,22.335452,0.432433604
3/29/2007,IBM,78.518875,-0.327796342
3/29/2007,SBUX,14.353731,0.095759075
3/29/2007,AAPL,12.402982,-0.89601033
3/29/2007,GSPC,1422.530029,-0.11739956
3/30/2007,MSFT,22.432038,-0.466453382
3/30/2007,IBM,78.261493,1.00784686
3/30/2007,SBUX,14.367476,-0.350771423
3/30/2007,AAPL,12.29185,0.796478968
3/30/2007,GSPC,1420.859985,0.259706378
4/2/2007,MSFT,22.327403,0.468639367
4/2/2007,IBM,79.050249,0.934775044
4/2/2007,SBUX,14.317079,0.76800582
4/2/2007,AAPL,12.389752,0.907629144
4/2/2007,GSPC,1424.550049,0.928010287
4/3/2007,MSFT,22.432038,2.260494566
4/3/2007,IBM,79.789191,0.114465379
4/3/2007,SBUX,14.427035,-0.476341812
4/3/2007,AAPL,12.502205,-0.243381068
4/3/2007,GSPC,1437.77002,0.111281706
4/4/2007,MSFT,22.939113,0.175433985
4/4/2007,IBM,79.880522,0.322208711
4/4/2007,SBUX,14.358313,0.191443103
4/4/2007,AAPL,12.471777,0.434917975
4/4/2007,GSPC,1439.369995,0.304995589
4/5/2007,MSFT,22.979356,0.070054183
4/5/2007,IBM,80.137904,0.103612643
4/5/2007,SBUX,14.385801,-0.8280248
4/5/2007,AAPL,12.526019,-1.087871574
4/5/2007,GSPC,1443.76001,0.058872319
4/9/2007,MSFT,22.995454,-0.595026304
4/9/2007,IBM,80.220937,-0.165601407
4/9/2007,SBUX,14.266683,0.064226562
4/9/2007,AAPL,12.389752,0.640682719
4/9/2007,GSPC,1444.609985,0.261664397
4/10/2007,MSFT,22.858625,-1.021124411
4/10/2007,IBM,80.08809,-1.347704759
4/10/2007,SBUX,14.275846,-1.379974259
4/10/2007,AAPL,12.469131,-1.76126949
4/10/2007,GSPC,1448.390015,-0.657282907
4/11/2007,MSFT,22.62521,1.529705139
4/11/2007,IBM,79.008739,0.535934386
4/11/2007,SBUX,14.078843,-0.195250419
4/11/2007,AAPL,12.249516,-0.432017069
4/11/2007,GSPC,1438.869995,0.620629663
4/12/2007,MSFT,22.971309,0.245266824
4/12/2007,IBM,79.432174,-0.773490097
4/12/2007,SBUX,14.051354,0.293452147
4/12/2007,AAPL,12.196596,-2.115196732
4/12/2007,GSPC,1447.800049,0.34880003
4/13/2007,MSFT,23.02765,0.419430554
4/13/2007,IBM,78.817774,1.3167601
4/13/2007,SBUX,14.092588,0.942779282
4/13/2007,AAPL,11.938614,1.318704164
4/13/2007,GSPC,1452.849976,1.065490605
4/16/2007,MSFT,23.124235,0.417687331
4/16/2007,IBM,79.855615,0.977336409
4/16/2007,SBUX,14.22545,-0.032202848
4/16/2007,AAPL,12.096049,-1.181228681
4/16/2007,GSPC,1468.329956,0.214531072
4/17/2007,MSFT,23.220822,-0.866554164
4/17/2007,IBM,80.636073,-2.388796885
4/17/2007,SBUX,14.220869,-0.193300423
4/17/2007,AAPL,11.953167,0.055340982
4/17/2007,GSPC,1471.47998,0.069319326
4/18/2007,MSFT,23.019601,0.314688339
4/18/2007,IBM,78.709841,-0.537977202
4/18/2007,SBUX,14.19338,-0.645575613
4/18/2007,AAPL,11.959782,-0.143806969
4/18/2007,GSPC,1472.5,-0.120205093
4/19/2007,MSFT,23.092041,1.150227474
4/19/2007,IBM,78.2864,0.307562999
